,housing log-likelihood,perm log-likelihood
2,-8.15840586851588,-9.512442639769176
5,-7.482741514492239,-8.753774294535118
10,-7.189484536084189,-7.666742880884125
15,-6.93840084284124,-7.098056418044969
20,-6.712201968280579,-6.803201109902459
25,-6.63541703655792,-6.496543013193555
30,-6.451490839062234,-6.456327855484595
35,-6.325845032578777,-6.3175127232827535
40,-6.146716591886412,-6.334658095587328
50,-6.01166253239579,-6.11544672536324
60,-5.735534236862107,-6.090487723325714
70,-5.532697631353057,-5.825194329348295
